Transect,Treatment,Date,Start time,Grasshopper sex,Grasshopper ID,Grasshopper source,Temp,Grasshopper wt (g),Lupine source,0h leaf wt (g),2h leaf wt (g),Fresh 8h leaf wt (g),8h leaf wt (g),Notes,2h % change,8h % change,Total,Treatment_sensible
GB,5,8/18/18,8:15am,Female,2020-16,High,25,0.3082,High,0.2821,,,0.1983,,,,0.0838,GH-LH-TL
GB,5,8/18/18,8:15am,Female,2020-26,High,25,0.287,High,0.3748,,,0.2125,,,,0.1623,GH-LH-TL
GB,5,8/18/18,8:15am,Male,2020-2,High,25,0.2756,High,0.6455,,,0.5535,,,,0.092,GH-LH-TL
GB,7,8/18/18,8:15am,Male,2020-8,High,25,0.1488,Low,0.2752,,,0.2448,,,,0.0304,GH-LL-TL
GB,7,8/18/18,8:15am,Female,2020-30,High,25,0.282,Low,0.3008,,,0.1495,,,,0.1513,GH-LL-TL
GB,7,8/18/18,8:15am,Female,2020-18,High,25,0.2933,Low,0.4133,,,0.2836,,,,0.1297,GH-LL-TL
GB,7,8/18/18,8:15am,Female,2020-24,High,25,0.2972,Low,0.3838,,,0.2475,,,,0.1363,GH-LL-TL
GB,7,8/18/18,8:15am,Female,2020-28,High,25,0.2727,Low,0.4576,,,0.3359,,,,0.1217,GH-LL-TL
GB,7,8/18/18,8:15am,Male,2020-14,High,25,0.1599,Low,0.1914,,,0.1535,,,,0.0379,GH-LL-TL
GB,7,8/18/18,8:15am,Male,2020-10,High,25,0.1427,Low,0.2828,,,0.2094,,,,0.0734,GH-LL-TL
GB,1,8/18/18,8:15am,Female,1740-6,Low,25,0.1779,Low,0.4145,,,0.237,,,,0.1775,GL-LL-TL
GB,1,8/18/18,8:15am,Female,1740-4,Low,25,0.3081,Low,0.4343,,,0.2811,,,,0.1532,GL-LL-TL
GB,1,8/18/18,8:15am,Female,1740-28,Low,25,0.1255,Low,0.2986,,,0.2206,,,,0.078,GL-LL-TL
GB,1,8/18/18,8:15am,Male,1740-22,Low,25,0.1395,Low,0.5106,,,0.3739,,,,0.1367,GL-LL-TL
GB,4,8/18/18,8:15am,Female,1740-3,Low,32,0.2147,High,0.7177,,,0.6066,,,,0.1111,GL-LH-TH
GB,4,8/18/18,8:15am,Male,1740-7,Low,32,0.1234,High,0.5336,,,0.401,,,,0.1326,GL-LH-TH
GB,4,8/18/18,8:15am,Male,1740-25,Low,32,0.1469,High,0.4206,,,0.3721,,,,0.0485,GL-LH-TH
GB,4,8/18/18,8:15am,Male,1740-5,Low,32,0.1298,High,0.5578,,,0.4822,,,,0.0756,GL-LH-TH
GB,4,8/18/18,8:15am,Female,1740-23,Low,32,0.39,High,0.9286,,,0.7475,,,,0.1811,GL-LH-TH
GB,4,8/18/18,8:15am,Male,1740-9,Low,32,0.142,High,0.7576,,,0.5436,,,,0.214,GL-LH-TH
GB,2,8/18/18,8:15am,Female,1740-27,Low,32,0.1225,Low,0.3252,,,0.2481,,,,0.0771,GL-LL-TH
GB,2,8/18/18,8:15am,Female,1740-13,Low,32,0.1631,Low,0.4419,,,0.2716,,,,0.1703,GL-LL-TH
GB,2,8/18/18,8:15am,Male,1740-21,Low,32,0.1348,Low,0.6666,,,0.4393,,,,0.2273,GL-LL-TH
GB,2,8/18/18,8:15am,Female,1740-19,Low,32,0.3806,Low,0.9872,,,0.9521,,,,0.0351,GL-LL-TH
GB,6,8/18/18,8:15am,Female,2020-1,High,32,0.3831,High,0.496,,,0.3585,,,,0.1375,GH-LH-TH
GB,6,8/18/18,8:15am,Male,2020-3,High,32,0.2523,High,0.6886,,,0.4813,,,,0.2073,GH-LH-TH
GB,6,8/18/18,8:15am,Male,2020-21,High,32,0.1218,High,0.7291,,,0.6548,,,,0.0743,GH-LH-TH
GB,6,8/18/18,8:15am,Male,2020-17,High,32,0.1312,High,0.8928,,,0.7412,,,,0.1516,GH-LH-TH
GB,8,8/18/18,8:15am,Male,2020-11,High,32,0.1406,Low,0.5516,,,0.4085,,,,0.1431,GH-LL-TH
GB,8,8/18/18,8:15am,Female,2020-15,High,32,0.2868,Low,0.4576,,,0.3864,,,,0.0712,GH-LL-TH
GB,8,8/18/18,8:15am,Male,2020-25,High,32,0.1365,Low,0.4032,,,0.2751,,,,0.1281,GH-LL-TH
GB,8,8/18/18,8:15am,Female,2020-29,High,32,0.2853,Low,0.3828,,,0.1796,,,,0.2032,GH-LL-TH
GB,8,8/18/18,8:15am,Male,2020-27,High,32,0.12,Low,0.422,,,0.2418,,,,0.1802,GH-LL-TH
GB,8,8/18/18,8:15am,Female,2020-9,High,32,0.2743,Low,0.6458,,,0.3935,,,,0.2523,GH-LL-TH
PA,1,8/29/18,8:00am,Female,1490-16,Low,25,0.4349,Low,0.4503,,,0.2881,,,,0.1622,GL-LL-TL
PA,2,8/29/18,8:00am,Female,1490-13,Low,32,0.4098,Low,0.2836,,,0.1651,,,,0.1185,GL-LL-TH
PA,3,8/29/18,8:00am,Female,1490-17,Low,25,0.5601,High,0.3706,,,0.2203,,,,0.1503,GL-LH-TL
PA,4,8/29/18,8:00am,Female,1490-20,Low,32,0.3522,High,0.2654,,,0.0873,,,,0.1781,GL-LH-TH
PA,1,8/29/18,8:00am,Male,1490-15,Low,25,0.1275,Low,0.3712,,,0.3046,,,,0.0666,GL-LL-TL
PA,2,8/29/18,8:00am,Male,1490-25,Low,32,0.4621,Low,0.7368,,,0.6917,,,,0.0451,GL-LL-TH
PA,3,8/29/18,8:00am,Male,1490-23,Low,25,0.1555,High,1.3075,,,1.1705,,,,0.137,GL-LH-TL
PA,4,8/29/18,8:00am,Male,1490-18,Low,32,0.1406,High,0.3619,,,0.3025,,,,0.0594,GL-LH-TH
PA,1,8/29/18,8:00am,Female,1490-21,Low,25,0.3334,Low,0.4597,,,0.3113,,,,0.1484,GL-LL-TL
PA,2,8/29/18,8:00am,Female,1490-22,Low,32,0.4123,Low,0.3428,,,0.1815,,,,0.1613,GL-LL-TH
PA,4,8/29/18,8:00am,Female,1490-9,Low,32,0.5044,High,0.306,,,0.25,,,,0.056,GL-LH-TH
PA,1,8/29/18,8:00am,Male,1490-26,Low,25,0.1583,Low,0.449,,,0.3906,,,,0.0584,GL-LL-TL
PA,2,8/29/18,8:00am,Male,1490-29,Low,32,0.1537,Low,0.3603,,,0.2702,,,,0.0901,GL-LL-TH
PA,3,8/29/18,8:00am,Male,1490-1,Low,25,0.1416,High,0.4342,,,0.37613,,,,0.05807,GL-LH-TL
PA,4,8/29/18,8:00am,Male,1490-7,Low,32,0.1514,High,0.4472,,,0.3937,,,,0.0535,GL-LH-TH
PA,1,8/29/18,8:00am,Female,1490-4,Low,25,0.2688,Low,0.3208,,,0.1412,,,,0.1796,GL-LL-TL
PA,2,8/29/18,8:00am,Female,1490-27,Low,32,0.4323,Low,0.3591,,,0.1582,,,,0.2009,GL-LL-TH
PA,3,8/29/18,8:00am,Female,1490-10,Low,25,0.3844,High,0.5077,,,0.3648,,,,0.1429,GL-LH-TL
PA,4,8/29/18,8:00am,Female,1490-14,Low,32,0.4893,High,0.6516,,,0.5666,,,,0.085,GL-LH-TH
PA,1,8/29/18,8:00am,Male,1490-24,Low,25,0.1555,Low,0.4799,,,0.4412,,,,0.0387,GL-LL-TL
PA,2,8/29/18,8:00am,Male,1490-12,Low,32,0.1649,Low,0.4112,,,0.3544,,,,0.0568,GL-LL-TH
PA,3,8/29/18,8:00am,Female,1490-5,Low,25,0.2479,High,0.6284,,,0.4285,,,,0.1999,GL-LH-TL
PA,4,8/29/18,8:00am,Male,1490-11,Low,32,0.1653,High,0.4587,,,0.4053,,,,0.0534,GL-LH-TH
PA,1,8/29/18,8:00am,Female,1490-2,Low,25,0.346,Low,0.5018,,,0.3731,,,,0.1287,GL-LL-TL
PA,2,8/29/18,8:00am,Female,1490-28,Low,32,0.414,Low,0.4062,,,0.1702,,,,0.236,GL-LL-TH
PA,3,8/29/18,8:00am,Female,1490-6,Low,25,0.4178,High,0.4466,,,0.3324,,,,0.1142,GL-LH-TL
PA,4,8/29/18,8:00am,Female,1490-3,Low,32,0.4442,High,0.6215,,,0.5735,,,,0.048,GL-LH-TH
PA,5,8/29/18,8:00am,Female,1791-30,High,25,0.3521,High,0.2734,,,0.1214,,,,0.152,GH-LH-TL
PA,6,8/29/18,8:00am,Female,1791-29,High,32,0.3607,High,0.5108,,,0.3016,,,,0.2092,GH-LH-TH
PA,7,8/29/18,8:00am,Female,1791-25,High,25,0.3588,Low,0.6289,,,0.4757,,,,0.1532,GH-LL-TL
PA,8,8/29/18,8:00am,Female,1791-21,High,32,0.3468,Low,0.315,,,0.0649,,,,0.2501,GH-LL-TH
PA,7,8/29/18,8:00am,Male,1791-23,High,25,0.1225,Low,0.8022,,,0.7239,,,,0.0783,GH-LL-TL
PA,8,8/29/18,8:00am,Male,1791-22,High,32,0.1096,Low,0.2996,,,0.245,,,,0.0546,GH-LL-TH
PA,5,8/29/18,8:00am,Male,1791-17,High,25,0.1109,High,0.6896,,,0.6221,,,,0.0675,GH-LH-TL
PA,6,8/29/18,8:00am,Male,1791-24,High,32,0.2245,High,0.3878,,,0.1487,,,,0.2391,GH-LH-TH
PA,7,8/29/18,8:00am,Male,1791-19,High,25,0.135,Low,0.4878,,,0.4418,,,,0.046,GH-LL-TL
PA,8,8/29/18,8:00am,Female,1791-16,High,32,0.3856,Low,0.6816,,,0.4432,,,,0.2384,GH-LL-TH
PA,5,8/29/18,8:00am,Male,1791-26,High,25,0.1513,High,0.434,,,0.3865,,,,0.0475,GH-LH-TL
PA,7,8/29/18,8:00am,Male,1791-5,High,25,0.1227,Low,0.5611,,,0.5147,,,,0.0464,GH-LL-TL
PA,8,8/29/18,8:00am,Female,1791-2,High,32,0.3056,Low,0.3546,,,0.1677,,,,0.1869,GH-LL-TH
PA,5,8/29/18,8:00am,Female,1791-8,High,25,0.226,High,0.2623,,,0.1301,,,,0.1322,GH-LH-TL
PA,6,8/29/18,8:00am,Female,1791-4,High,32,0.3216,High,0.3477,,,0.1212,,,,0.2265,GH-LH-TH
PA,7,8/29/18,8:00am,Female,1791-9,High,25,0.3677,Low,0.4983,,,0.4052,,,,0.0931,GH-LL-TL
PA,8,8/29/18,8:00am,Female,1791-1,High,32,0.3111,Low,0.3436,,,0.2324,,,,0.1112,GH-LL-TH
PA,5,8/29/18,8:00am,Male,1791-6,High,25,0.1592,High,0.2835,,,0.2315,,,,0.052,GH-LH-TL
PA,6,8/29/18,8:00am,Female,1791-7,High,32,0.298,High,0.4466,,,0.3473,,,,0.0993,GH-LH-TH
PA,8,8/29/18,8:00am,Male,1791-11,High,32,0.1905,Low,0.7076,,,0.4609,,,,0.2467,GH-LL-TH
PA,5,8/29/18,8:00am,Female,1791-10,High,25,0.22,High,0.3511,,,0.229,,,,0.1221,GH-LH-TL
PA,6,8/29/18,8:00am,Female,1791-15,High,32,0.2792,High,0.5833,,,0.2961,,,,0.2872,GH-LH-TH
PA,7,8/29/18,8:00am,Male,1791-12,High,25,0.126,Low,0.2352,,,0.1502,,,,0.085,GH-LL-TL
